conference,year,title,authors
Western Finance Association,2020,Organized Crime and Firms: Evidence from Anti-Maﬁa Enforcement Actions,Pablo Slutzky; Stefan Zeume
Western Finance Association,2020,Deleting Misconduct: The Expungement of BrokerCheck Records,Colleen Honigsberg; Matthew Jacob
Western Finance Association,2020,"ESG Preference, Institutional Trading, and Stock Return Patterns",Jie Cao; Sheridan Titman; Xintong Zhan; Weiming Zhang
Western Finance Association,2020,Stranded Fossil Fuel Reserves and Firm Value,Christina Atanasova; Eduardo Schwartz
Western Finance Association,2020,Asset Prices and Portfolios with Externalities,Steven Baker; Burton Holliﬁeld; Emilio Osambela
Western Finance Association,2020,Benchmark Interest Rates When the Government is Risky,Patrick Augustin; Mikhail Chernov; Lukas Schmid; Dongho Song
Western Finance Association,2020,The U.S. Public Debt Valuation Puzzle,Zhengyang Jiang; Hanno Lustig; Stijn Van Nieuwerburgh; Mindy Z. Xiaolan
Western Finance Association,2020,"Learning, Equilibrium Trend, Cycle, and Spread in Bond Yields",Guihai Zhao
Western Finance Association,2020,Capital Budgeting and Idiosyncratic Risk,Paul Decaire
Western Finance Association,2020,Delayed Creative Destruction: How Uncertainty Shapes Corporate Asset Allocation,Murillo Campello; Gaurav Kankanhalli; Hyunseob Kim
Western Finance Association,2020,Do Nonﬁnancial Firms Use Financial Assets to Take Risk? Evidence from the 2014 Oil Price Crisis,Ran Duchin; Zhiyao Chen
Western Finance Association,2020,Deposit Withdrawals,Nikolaos Artavanis; Daniel Paravisini; Claudia Robles-Garcia; Amit Seru; Margarita Tsoutsoura
Western Finance Association,2020,Beyond the Balance Sheet Model of Banking: Implications for Bank Regulation and Monetary Policy,Greg Buchak; Gregor Matvos; Tomasz Piskorski; Amit Seru
Western Finance Association,2020,Zombie Credit and (Dis-)Inﬂation: Evidence from Europe,Viral V . Acharya; Matteo Crosignani; Tim Eisert; Christian Euﬁnger
Western Finance Association,2020,Trading on Long-Term Information,Corey Garriott; Ryan Riordan
Western Finance Association,2020,Effects of a Speed Bump on Market Quality and Exchange Competition,Bidisha Chakrabarty; Jianning Huang; Pankaj K. Jain
Western Finance Association,2020,"""Sniping"" in Fragmented Markets",Katya Malinova; Andreas Park
Western Finance Association,2020,Investment Sophistication and Wealth Inequality,Ehsan Azarmsa
Western Finance Association,2020,Wealth Shares in the Long Run,Geoffery X. Zheng
Western Finance Association,2020,The Consumption Effects of the Disposition to Sell Winners and Hold Losers,Benjamin Loos; Steffen Meyer; Michaela Pagel
Western Finance Association,2020,Do the Right Firms Survive Bankruptcy?,Matthieu Gomez; Jianfeng Yu; Benjamin Iverson
Western Finance Association,2020,Social Collateral,Samuel Antill
Western Finance Association,2020,Financial Constraints and Product Market Decisions: the Role of Production Cycles,Ha Diep-Nguyen; Huong Dang
Western Finance Association,2020,Financing Competitors,Diogo Mendes
Western Finance Association,2020,Cheap Trade Credit and Competition in Downstream Markets,Erica Xuewei Jiang
Western Finance Association,2020,Product Market Strategy and Corporate Policies,Mariassunta Giannetti; Nicolas Serrano-Velarde; Emanuele Tarantino
Western Finance Association,2020,Sitting Bucks: Zero Returns in Fixed Income Funds,Jakub Hajda
Western Finance Association,2020,A Horizon Based Decomposition of Mutual Fund Skill using Transaction Data,Jaewon Choi; Mathias Kronlund; Ji Yeol Jimmy Oh
Western Finance Association,2020,The Performance of Diverse Teams: Evidence from U.S. Mutual Funds,Jules Van Binsbergen; Hongxun Ruan; Ran Xing
Western Finance Association,2020,Safe Assets as Collateral Multipliers,Richard Evans; Melissa Prado; Antonino Emanuele Rizzo; Rafael Zambrana
Western Finance Association,2020,The Employee Clientele of Corporate Leverage: Evidence from Family Labor Income Diversiﬁcation,Emre Ozdenoren; Kathy Yuan; Shengxing Zhang
Western Finance Association,2020,Robust Security Design,Jie He; Tao Shu; Huan Yang
Western Finance Association,2020,Human Interactions and Financial Investment: A Video-Based Approach,Seokwoo Lee; Uday Rajan
Western Finance Association,2020,The Leveraging of Silicon Valley: Venture Debt in the Innovation Economy,Yael Hochberg; Allen Hu; Song Ma
Western Finance Association,2020,The Evolution of CEO Compensation in Venture Capital Backed Startups,Jesse Davis; Adair Morse; Xinxin Wang
Western Finance Association,2020,Interbank Networks in the Shadows of the Federal Reserve Act,Michael Ewens; Ramana Nanda; Christopher Stanton
Western Finance Association,2020,Bank Debt versus Fund Equity in Liquidity Provision,Haelim Anderson; Selman Erol; Guillermo Ordoñez
Western Finance Association,2020,"Interbank Trading, Collusion, and Financial Regulation",Yiming Ma; Kairong Xiao; Yao Zeng
Western Finance Association,2020,The Perils of Private Provision of Public Goods,Michael Gofman; Dean Corbae
Western Finance Association,2020,Shareholder Illiquidity and Firm Behavior: Financial and Real Effects of the Personal Wealth Tax in Private Firms,Umit Gurun; Jordan Nickerson; David H. Solomon
Western Finance Association,2020,Reusing Natural Experiments,Janis Berzins; Oyvind Bohren; Bogdan Stacescu
Western Finance Association,2020,Credit Market Equivalents and the Valuation of Private Firms,Davidson Heath; Ingrid M. Werner; Mehrdad Samadi; Matthew Ringgenberg
Western Finance Association,2020,Ex Ante Risk in the Corporate Bond Market: Evidence from Synthetic Options,Niklas Huether; Lukas Schmid; Roberto Steri
Western Finance Association,2020,"Machine Learning, Human Experts, and the Valuation of Real Assets",Steven Shu-Hsiu Chen; Hitesh Doshi; Sang Byung Seo
Western Finance Association,2020,Technology Development and Corporate Mergers,Mathieu Aubry; Roman Kraussl; Gustavo Manso; Christophe Spaenjers
Western Finance Association,2020,Seeking Efﬁciency or Price Gouging? Evidence from Pharmaceutical Mergers,Danqing Mei
Western Finance Association,2020,The Economic Effects of Private Equity Buyouts,Mosab Hammoudeh; Amrita Nain
Western Finance Association,2020,Uncertainty about What’s in the Price,Steven J. Davis; John Haltiwanger; Kyle Handley; Javier Miranda; Josh Lerner
Western Finance Association,2020,Bank-Intermediated Arbitrage,Daniel Schmidt; Joel Peress
Western Finance Association,2020,Market Efﬁciency in the Age of Big Data,Nina Boyarchenko; Thomas M. Eisenbach; Pooja Gupta; Or Shachar; Peter Van Tassel
Western Finance Association,2020,Global Portfolio Rebalancing and Exchange Rates,Ian Martin; Stefan Nagel
Western Finance Association,2020,"Gravity, Counterparties and Foreign Investment",Adrien Verdelhan; Nelson Camanho; Harald Hau; Helene Rey
Western Finance Association,2020,Foreign Investment of US Multinationals: The Effect of Tax Policy and Agency Conﬂicts,Cristian Badarinza; Tarun Ramadorai; Chihiro Shimizu
Western Finance Association,2020,Falling Behind: Has Rising Inequality Fueled the American Debt Boom?,James Albertus; Brent Glover; Oliver Levine
Western Finance Association,2020,Stock Portfolio and Housing Choice when the Stock and Housing Markets are Cointegrated,Moritz Drechsel-Grau; Fabian Greimel
Western Finance Association,2020,The Gender Gap in Housing Returns,Yingshan Chen; Min Dai; Shan Huang; Hong Liu
Western Finance Association,2020,"Bitcoin as Decentralized Money: Prices, Mining, and Network Security",Paul Goldsmith-Pinkham; Kelly Shue
Western Finance Association,2020,Proof-of-Work (PoW) Blockchain Network and Its Viability as a Payment System,Emiliano Pagnotta
Western Finance Association,2020,Miner Collusion and the BitCoin Protocol,Ping He; Dunzhe Tang; Jingwen Wang
Western Finance Association,2020,The Real Effects of Secondary Market Trading Structure: Evidence from the Mortgage Market,Alfred Lehar; Christine A. Parlour
Western Finance Association,2020,The Value of Intermediation in the Stock Market,Yesol Huh; You Suk Kim
Western Finance Association,2020,Quantifying the High-Frequency Trading “Arms Race”: A Simple New Methodology and Estimates,Marco Di Maggio; Mark Egan; Francesco Franzoni
Western Finance Association,2020,"Extrapolative Expectations, Corporate Activities, and Asset Prices",Matteo Aquilina; Eric Budish; Peter O’Neill
Western Finance Association,2020,Capital Misallocation and Risk Sharing,Yao Deng
Western Finance Association,2020,Debt Dynamics and Credit Risk,Hengjie Ai; Anmol Bhandari; Yuchen Chen; Chao Ying
Western Finance Association,2020,Asset Pricing with Fading Memory,Peter Feldhütter; Stephen Schaefer
Western Finance Association,2020,Till Death (or Divorce) Do Us Part: Early-Life Family Disruption and Investment Behavior,Stefan Nagel; Zhengyang Xu
Western Finance Association,2020,"Ownership, Learning, and Beliefs",André Betzer; Peter Limbach; Raghavendra Rau; Henrik Schürmann
Western Finance Association,2020,Climate Regulation and Emissions Abatement: Theory and Evidence from Firms’ Disclosures,Samuel Hartzmark; Samuel Hirshman; Alex Imas
Western Finance Association,2020,A Theory of Socially Responsible Investment,Lucian Taylor; Tarun Ramadorai; Federica Zeni
Western Finance Association,2020,Low-carbon mutual funds,Martin Oehmke; Marcus Opp
Western Finance Association,2020,Common Fund Flows: Flow Hedging and Factor Pricing,Marco Ceccarelli; Stefano Ramelli; Alexander Wagner
Western Finance Association,2020,Is Mutual Fund Family Retirement Money Smart?,Pramodkumar Yadav
Western Finance Association,2020,Flow,Caitlin Dannhauser; Jeffrey Pontiff
Western Finance Association,2020,Crisis Innovation,Tania Babina; Asaf Bernstein; Filippo Mezzanotti
Western Finance Association,2020,Patent Value and Citations: Creative Destruction or Strategic Disruption?,Ufuk Akcigit; David Abrams; Jillian Grennan
Western Finance Association,2020,Gig-Labor: Trading Safety Nets for Steering Wheels,Slava Fos; Ankit Kalda; Jordan Nickerson
Western Finance Association,2020,Asset Prices and Liquidity with Market Power and non-Gaussian Payoffs,Sergei Glebkin; Semyon Malamud; Alberto Teguia
Western Finance Association,2020,The Effect of Secondary Market Existence on Primary Market Liquidity: Theory and Evidence from a Natural Experiment in Peer-to-Peer Lending,Craig Holden; Mingfeng Lin; Kai Lu; Zaiyan Wei; Jun Yang
Western Finance Association,2020,Liquidity in the Cross Section of OTC Assets,Semih Uslu; Guner Velioglu
Western Finance Association,2020,Shocked by Bank Funding Shocks: Evidence from 500 Million Consumer Credit Cards,Sudheer Chava; Rohan Rao S. Ganduri; Nikhil Paradkar; Linghang Zeng
Western Finance Association,2020,Credit Cycles with Market-Based Household Leverage,William Diamond; Tim Landvoigt
Western Finance Association,2020,Discrimination in the Auto Loan Market,Alexander W. Butler; Erik Mayer; James Weston
Western Finance Association,2020,Exposure to Daily Price Changes and Inﬂation Expectations,"Francesco D
Acunto; Ulrike Malmendier; Michael Weber"
Western Finance Association,2020,"Announcements, Expectations, and Stock Returns with Asymmetric Information",Leyla Jianyu Han
Western Finance Association,2020,The Structure of Economic News,Leland Bybee; Bryan Kelly; Asaf Manela; Dacheng Xiu
Western Finance Association,2020,Noise Trading and Asset Pricing Factors,Yang Song; Shiyang Huang; Hong Xiang
Western Finance Association,2020,Attention and Biases: Evidence from Tax-Inattentive Investors,Justin Birru; Fernando Chague; Rodrigo De-Losso; Bruno Giovannetti
Western Finance Association,2020,"Necessary Evidence For A Risk Factor
S Relevance",Alexander Chinco; Samuel Hartzmark; Abigail Sussman
Western Finance Association,2020,The Commodity Futures Risk Premium 1871 - 2018,Geetesh Bhardwaj; Rajkumar Janardanan; K Geert Rouwenhorst
Western Finance Association,2020,Speculator Spreading Pressure and Commodity Futures Risk Premium,Yujing Gong; Arie Gozluklu; Gi Kim
Western Finance Association,2020,Risk Premia and Unemployment Fluctuations,Jaroslav Borovicka; Katarina Borovickova
Western Finance Association,2020,Commonality in Credit Spread Changes: Dealer Inventory and Intermediary Distress,Zhiguo He; Paymon Khorrami; Zhaogang Song
Western Finance Association,2020,"Optimal Debt Dynamics, Issuance Costs, and Commitment",Luca Benzoni; Lorenzo Garlappi; Robert Goldstein; Julien Hugonnier; Chao Ying
Western Finance Association,2020,Risk Dynamics with Heterogeneous Borrowers and Intermediaries,Sujan Lamichhane
Western Finance Association,2020,Knowledge Cycles and Corporate Investment,Maria Cecilia Bustamante; Julien Cujean; Laurent Frésard
Western Finance Association,2020,Rents and Intangibles: A Q+ Framework,Nicolas Crouzet; Janice Eberly
Western Finance Association,2020,Health Care Costs and Corporate Investment,Joy Tianjiao Tong
Western Finance Association,2020,A Fuzzy Bunching Estimator of Regulatory Costs,Adrien Alvero; Kairong Xiao
Western Finance Association,2020,Trading Credit (Subsidies) for Votes: The Effect of Local Politics on Small Business Lending,Sahil Raina; Sheng-Jun Xu
Western Finance Association,2020,Arbitrage Capital of Global Banks,Alyssa Anderson; Wenxin Du; Bernd Schlusche
Western Finance Association,2020,Financial Technology and the Inequality Gap,Roxana Mihet
Western Finance Association,2020,Financial Technology Adoption,Sean Higgins
Western Finance Association,2020,When FinTech Competes for Payment Flows,Christine A. Parlour; Uday Rajan; Haoxiang Zhu
