rank,conference,code,ft50_rate,top3_rate,ft50_papers,top3_papers,presented,years,source
45,Financial Management Association (Annual Meeting),FMA,0.1562,0.0513,1126,370,7210,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
46,Australasian Finance & Banking Conference,AFBC,0.1349,0.0468,147,51,1090,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
47,FMA European Conference,FMA_EU,0.1311,0.0466,242,86,1846,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
48,Eastern Finance Association,ESFA,0.1107,0.0343,210,65,1897,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
49,Southern Finance Association,SFA,0.1083,0.0285,95,25,877,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
50,European Financial Management Association,EFMA,0.0879,0.0256,206,60,2343,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
51,Financial Markets & Corporate Governance,FMCG,0.0817,0.0218,30,8,367,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
52,Paris Financial Management Conference,PFMC,0.0775,0.0251,74,24,955,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
53,IGIDR Money & Finance Conference,IGIDR,0.0769,0.0462,5,3,65,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
54,EFM Symposium,EFM_SYMP,0.0755,0.0189,4,1,53,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
55,Pacific-Basin Finance/Economics/Accounting/Management,PBFEAM,0.0728,0.0269,46,17,632,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
56,Southwestern Finance Association,SWFA,0.0703,0.0221,121,38,1720,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
57,Academy of Behavioral Finance & Economics,ABFE,0.0673,0.0245,22,8,327,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
58,Multinational Finance Society,MFS,0.0586,0.0145,73,18,1245,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
59,World Finance & Banking Symposium,WFBS,0.0497,0.0145,24,7,483,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
60,Int'l Symposium on Environment & Energy Finance Issues,ISEFI,0.0210,0.0047,9,2,428,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
